Name,Elo
Dustin Jacoby,{'elo': 1323.6310542148276, 'winStreak': 1}
Roger Huerta,{'elo': 1323.480141939523, 'winStreak': 0}
Philipe Lins,{'elo': 1323.4177120560814, 'winStreak': 4}
Loma Lookboonmee,{'elo': 1322.920871333466, 'winStreak': 3}
Jimmie Rivera,{'elo': 1322.8407941567825, 'winStreak': 0}
Ruslan Magomedov,{'elo': 1322.8152626022868, 'winStreak': 3}
Mike Malott,{'elo': 1322.536855792722, 'winStreak': 1}
Matt Brown,{'elo': 1322.3989379284403, 'winStreak': 1}
Drew Dober,{'elo': 1321.8744035924356, 'winStreak': 0}
Thiago Moisés,{'elo': 1320.957647811877, 'winStreak': 1}
Chris Weidman,{'elo': 1320.5880796713664, 'winStreak': 0}
Tabatha Ricci,{'elo': 1320.5381360287095, 'winStreak': 0}
Joanna Jędrzejczyk,{'elo': 1320.4389671098882, 'winStreak': 0}
Sodiq Yusuff,{'elo': 1320.0254473527687, 'winStreak': 0}
Jacqueline Cavalcanti,{'elo': 1319.9580351083457, 'winStreak': 3}
Youssef Zalal,{'elo': 1319.7550457265643, 'winStreak': 3}
Frank Mir,{'elo': 1319.4900544289665, 'winStreak': 0}
Justin Willis,{'elo': 1319.2338590753275, 'winStreak': 0}
Diego Brandao,{'elo': 1318.3231976828783, 'winStreak': 3}
Dennis Siver,{'elo': 1318.1992842298696, 'winStreak': 1}
Alex Caceres,{'elo': 1318.0898609417354, 'winStreak': 0}
Joshua Van,{'elo': 1317.7528118857722, 'winStreak': 2}
Karine Silva,{'elo': 1317.4414015248556, 'winStreak': 0}
Ketlen Vieira,{'elo': 1316.0772215151737, 'winStreak': 0}
Da Un Jung,{'elo': 1316.0124858325719, 'winStreak': 0}
Jaqueline Amorim,{'elo': 1315.8963844939203, 'winStreak': 3}
Gabriel Bonfim,{'elo': 1315.7946442472305, 'winStreak': 1}
Lupita Godinez,{'elo': 1315.6064101965417, 'winStreak': 3}
Askar Askarov,{'elo': 1315.169336489495, 'winStreak': 0}
Raul Rosas Jr.,{'elo': 1314.4133254387832, 'winStreak': 3}
Dan Henderson,{'elo': 1313.979585310841, 'winStreak': 0}
Matt Hamill,{'elo': 1313.727092670659, 'winStreak': 0}
Jens Pulver,{'elo': 1313.691438773406, 'winStreak': 0}
Viviane Araújo,{'elo': 1313.6679417287307, 'winStreak': 1}
Reinier De Ridder,{'elo': 1313.6412229627047, 'winStreak': 2}
Max Griffin,{'elo': 1313.0040970954606, 'winStreak': 0}
Bogdan Guskov,{'elo': 1311.792301609979, 'winStreak': 3}
Jussier Formiga,{'elo': 1311.7607128396219, 'winStreak': 0}
Kayla Harrison,{'elo': 1311.7309064991714, 'winStreak': 2}
Raoni Barcelos,{'elo': 1311.5084436158197, 'winStreak': 2}
Adrian Yañez,{'elo': 1310.7499994020704, 'winStreak': 0}
Damir Ismagulov,{'elo': 1310.497880712434, 'winStreak': 0}
Alex Perez,{'elo': 1310.3298549647523, 'winStreak': 0}
Rodolfo Vieira,{'elo': 1310.3058292495248, 'winStreak': 2}
Brock Lesnar,{'elo': 1310.0803896679133, 'winStreak': 0}
Choi Doo-Ho,{'elo': 1310.015327967639, 'winStreak': 2}
Julian Erosa,{'elo': 1309.8082938388438, 'winStreak': 2}
Brian Ebersole,{'elo': 1309.602103216074, 'winStreak': 0}
Thiago Tavares,{'elo': 1309.1770303770988, 'winStreak': 0}
Jared Gordon,{'elo': 1309.075321623809, 'winStreak': 0}
Martin Buday,{'elo': 1308.6539650696895, 'winStreak': 1}
Michael Chandler,{'elo': 1308.1528016131613, 'winStreak': 0}
Mark Bocek,{'elo': 1307.9548517882176, 'winStreak': 1}
Felipe Lima,{'elo': 1307.441055298504, 'winStreak': 2}
Jared Rosholt,{'elo': 1307.2377007201947, 'winStreak': 0}
Chuck Liddell,{'elo': 1307.2339038366522, 'winStreak': 0}
Matt Lindland,{'elo': 1307.0955252153299, 'winStreak': 2}
Vinicius Oliveira,{'elo': 1306.6377227683934, 'winStreak': 2}
Stephan Bonnar,{'elo': 1306.536770053396, 'winStreak': 0}
Davey Grant,{'elo': 1306.0162195890948, 'winStreak': 1}
Pat Sabatini,{'elo': 1305.9987879373648, 'winStreak': 1}
Alateng Heili,{'elo': 1305.8106319166734, 'winStreak': 1}
Aaron Simpson,{'elo': 1305.159919908689, 'winStreak': 0}
Ronaldo Souza,{'elo': 1304.6265314733328, 'winStreak': 0}
Alan Jouban,{'elo': 1304.5252024529036, 'winStreak': 1}
John Moraga,{'elo': 1304.1815832921202, 'winStreak': 0}
Mike Pierce,{'elo': 1304.1539714736718, 'winStreak': 0}
Kevin Holland,{'elo': 1303.510567262606, 'winStreak': 0}
Themba Gorimbo,{'elo': 1303.4620085407914, 'winStreak': 0}
Denise Gomes,{'elo': 1303.4159174510735, 'winStreak': 2}
Jeremiah Wells,{'elo': 1302.7282307671157, 'winStreak': 0}
Al Iaquinta,{'elo': 1301.7335470225562, 'winStreak': 0}
Jeff Molina,{'elo': 1301.4368009643638, 'winStreak': 3}
Ilir Latifi,{'elo': 1300.7557273303908, 'winStreak': 0}
Michael Mcdonald,{'elo': 1300.3973299760275, 'winStreak': 0}
Vinc Pichel,{'elo': 1300.1871391511186, 'winStreak': 0}
Casey Kenney,{'elo': 1299.8262737396442, 'winStreak': 0}
Nate Quarry,{'elo': 1299.6998493467265, 'winStreak': 0}
Travis Browne,{'elo': 1299.4512561446504, 'winStreak': 0}
Tony Ferguson,{'elo': 1299.4005823343116, 'winStreak': 0}
Marlon Moraes,{'elo': 1299.2395787993955, 'winStreak': 0}
Rich Franklin,{'elo': 1299.0199991672444, 'winStreak': 0}
John Dodson,{'elo': 1298.5715795297626, 'winStreak': 0}
Mark Madsen,{'elo': 1297.9069657002553, 'winStreak': 0}
Patrick Côté,{'elo': 1297.2648614333714, 'winStreak': 0}
Zhang Mingyang,{'elo': 1297.0735620710464, 'winStreak': 2}
Adlan Amagov,{'elo': 1296.9587053405057, 'winStreak': 2}
Park Jun-Yong,{'elo': 1296.4619519058235, 'winStreak': 1}
Jesús Santos Aguilar,{'elo': 1296.3049499148535, 'winStreak': 3}
Carlos Condit,{'elo': 1295.9819829399999, 'winStreak': 0}
